Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Average Delay (s)
1000,20,AP->STA1,20000,19363,0.291591
2000,20,AP->STA1,40000,19338,0.489045
3000,20,AP->STA1,60001,19338,0.492321
4000,20,AP->STA1,80000,19338,0.493528
5000,20,AP->STA1,100000,19338,0.494149
6000,20,AP->STA1,120000,19338,0.494526
7000,20,AP->STA1,140001,19338,0.49479
8000,20,AP->STA1,160000,19338,0.494976
9000,20,AP->STA1,180001,19338,0.495118
10000,20,AP->STA1,200000,19338,0.49523
11000,20,AP->STA1,220001,19338,0.495316
12000,20,AP->STA1,240001,19338,0.49539
13000,20,AP->STA1,260001,19338,0.49545
14000,20,AP->STA1,279999,19338,0.495504
15000,20,AP->STA1,299999,19338,0.495548
16000,20,AP->STA1,320000,19338,0.495587
17000,20,AP->STA1,339998,19338,0.495621
18000,20,AP->STA1,359998,19338,0.495651
19000,20,AP->STA1,379997,19338,0.495678
20000,20,AP->STA1,400000,19338,0.495702
