Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Average Delay (s)
6000,10,STA2->AP,60000,2458,0.443076
6100,10,STA1->AP,61001,6783,0.480726
6100,10,STA2->AP,61001,2656,0.440338
6200,10,STA1->AP,62001,6973,0.481354
6200,10,STA2->AP,62001,2493,0.424999
6300,10,STA1->AP,63001,6783,0.480511
6300,10,STA2->AP,63001,2656,0.440366
6400,10,STA1->AP,64000,6783,0.480503
6400,10,STA2->AP,64000,2656,0.440423
6500,10,STA1->AP,65001,6973,0.481191
6500,10,STA2->AP,65001,2493,0.425122
6600,10,STA1->AP,66001,6973,0.481169
6600,10,STA2->AP,66001,2493,0.42517
6700,10,STA1->AP,67000,6701,0.480392
6700,10,STA2->AP,67000,2742,0.449255
6800,10,STA1->AP,68000,7064,0.481908
6800,10,STA2->AP,68000,2377,0.426374
6900,10,STA1->AP,69000,6978,0.48131
6900,10,STA2->AP,69000,2498,0.425824
7000,10,STA1->AP,70001,6978,0.481461
7000,10,STA2->AP,70001,2498,0.425883
7100,10,STA1->AP,71001,7027,0.481802
7100,10,STA2->AP,71001,2408,0.420883
7200,10,STA1->AP,72000,7115,0.482051
7200,10,STA2->AP,72000,2326,0.431394
7300,10,STA1->AP,73001,6978,0.481513
7300,10,STA2->AP,73001,2498,0.425616
7400,10,STA1->AP,74001,6963,0.481372
7400,10,STA2->AP,74001,2473,0.427957
7500,10,STA1->AP,75001,6963,0.48143
7500,10,STA2->AP,75001,2473,0.42801
7600,10,STA1->AP,76000,6961,0.481451
7600,10,STA2->AP,76000,2475,0.428034
7700,10,STA1->AP,77001,7069,0.481883
7700,10,STA2->AP,77001,2363,0.426001
7800,10,STA1->AP,78001,7069,0.481905
7800,10,STA2->AP,78001,2363,0.426039
7900,10,STA1->AP,79001,7069,0.481977
7900,10,STA2->AP,79001,2363,0.426074
8000,10,STA1->AP,80000,6723,0.480862
8000,10,STA2->AP,80000,2698,0.443819
8100,10,STA1->AP,81000,6723,0.480861
8100,10,STA2->AP,81000,2698,0.443384
8200,10,STA1->AP,82001,6868,0.481173
8200,10,STA2->AP,82001,2556,0.436198
8300,10,STA1->AP,83000,6723,0.480939
8300,10,STA2->AP,83000,2698,0.443377
8400,10,STA1->AP,84000,6723,0.480914
8400,10,STA2->AP,84000,2698,0.443418
8500,10,STA1->AP,85001,6943,0.481154
8500,10,STA2->AP,85001,2493,0.4346
8600,10,STA1->AP,86001,6943,0.481162
8600,10,STA2->AP,86001,2493,0.434651
8700,10,STA1->AP,87000,6684,0.480466
8700,10,STA2->AP,87000,2733,0.444178
8800,10,STA1->AP,88001,6684,0.480429
8800,10,STA2->AP,88001,2733,0.443965
8900,10,STA1->AP,89000,6684,0.480368
8900,10,STA2->AP,89000,2733,0.443907
9000,10,STA1->AP,90001,6684,0.480367
9000,10,STA2->AP,90001,2733,0.444002
9100,10,STA1->AP,91001,6684,0.480371
9100,10,STA2->AP,91001,2733,0.444016
9200,10,STA1->AP,92000,6684,0.480402
9200,10,STA2->AP,92000,2733,0.444043
9300,10,STA1->AP,93000,6684,0.48041
9300,10,STA2->AP,93000,2733,0.444064
9400,10,STA1->AP,94000,6684,0.480596
9400,10,STA2->AP,94000,2733,0.444147
9500,10,STA1->AP,95001,6684,0.480577
9500,10,STA2->AP,95001,2733,0.444164
9600,10,STA1->AP,96000,6684,0.48059
9600,10,STA2->AP,96000,2733,0.444191
9700,10,STA1->AP,97000,6684,0.480643
9700,10,STA2->AP,97000,2733,0.443934
9800,10,STA1->AP,98000,6684,0.480632
9800,10,STA2->AP,98000,2733,0.443517
9900,10,STA1->AP,99001,6684,0.480643
9900,10,STA2->AP,99001,2733,0.443533
10000,10,STA1->AP,100000,6732,0.480948
10000,10,STA2->AP,100000,2673,0.442564
