Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Average Delay (s)
14400,1,AP->STA1,14401,968,0.465
14500,1,AP->STA1,14500,968,0.465272
14600,1,AP->STA1,14601,968,0.465472
14700,1,AP->STA1,14701,968,0.46567
14800,1,AP->STA1,14800,968,0.465933
14900,1,AP->STA1,14901,968,0.466126
15000,1,AP->STA1,15000,968,0.466382
15100,1,AP->STA1,15101,968,0.46657
15200,1,AP->STA1,15201,968,0.466821
15300,1,AP->STA1,15301,968,0.467003
15400,1,AP->STA1,15401,968,0.467182
15500,1,AP->STA1,15501,968,0.467424
15600,1,AP->STA1,15600,968,0.467598
15700,1,AP->STA1,15701,968,0.467835
15800,1,AP->STA1,15801,968,0.468002
15900,1,AP->STA1,15901,968,0.46817
16000,1,AP->STA1,16000,968,0.468398
16100,1,AP->STA1,16100,968,0.468561
16200,1,AP->STA1,16201,968,0.468784
16300,1,AP->STA1,16300,968,0.468943
16400,1,AP->STA1,16400,968,0.46916
16500,1,AP->STA1,16501,968,0.469315
16600,1,AP->STA1,16600,968,0.469468
16700,1,AP->STA1,16701,968,0.469678
16800,1,AP->STA1,16800,968,0.469826
16900,1,AP->STA1,16900,968,0.470031
17000,1,AP->STA1,17000,968,0.470175
17100,1,AP->STA1,17100,968,0.470318
17200,1,AP->STA1,17200,968,0.470518
17300,1,AP->STA1,17301,968,0.470658
17400,1,AP->STA1,17401,968,0.470853
17500,1,AP->STA1,17500,968,0.470989
17600,1,AP->STA1,17601,968,0.471181
17700,1,AP->STA1,17701,968,0.471314
17800,1,AP->STA1,17800,968,0.471445
17900,1,AP->STA1,17900,968,0.47163
18000,1,AP->STA1,18000,968,0.471758
18100,1,AP->STA1,18100,968,0.47194
18200,1,AP->STA1,18201,968,0.472065
18300,1,AP->STA1,18300,968,0.472188
18400,1,AP->STA1,18400,968,0.472363
18500,1,AP->STA1,18501,968,0.472484
18600,1,AP->STA1,18601,968,0.472657
18700,1,AP->STA1,18700,968,0.472774
18800,1,AP->STA1,18801,968,0.472891
18900,1,AP->STA1,18901,968,0.473059
19000,1,AP->STA1,19000,968,0.473172
19100,1,AP->STA1,19101,968,0.473337
19200,1,AP->STA1,19201,968,0.473449
19300,1,AP->STA1,19301,968,0.47361
19400,1,AP->STA1,19401,968,0.473719
19500,1,AP->STA1,19501,968,0.473826
19600,1,AP->STA1,19601,968,0.473984
19700,1,AP->STA1,19701,968,0.474089
19800,1,AP->STA1,19801,968,0.474242
19900,1,AP->STA1,19901,968,0.474345
20000,1,AP->STA1,20000,968,0.474446
20100,1,AP->STA1,20101,968,0.474595
20200,1,AP->STA1,20200,968,0.474694
20300,1,AP->STA1,20301,968,0.474842
20400,1,AP->STA1,20400,968,0.474939
20500,1,AP->STA1,20501,968,0.475084
20600,1,AP->STA1,20600,968,0.475179
20700,1,AP->STA1,20701,968,0.475273
20800,1,AP->STA1,20800,968,0.475414
20900,1,AP->STA1,20900,968,0.475507
21000,1,AP->STA1,21001,968,0.475645
21100,1,AP->STA1,21101,968,0.475736
21200,1,AP->STA1,21200,968,0.475825
21300,1,AP->STA1,21301,968,0.47596
21400,1,AP->STA1,21400,968,0.476048
21500,1,AP->STA1,21500,968,0.47618
21600,1,AP->STA1,21601,968,0.476267
21700,1,AP->STA1,21700,968,0.476397
21800,1,AP->STA1,21800,968,0.476481
21900,1,AP->STA1,21901,968,0.476564
22000,1,AP->STA1,22000,968,0.47669
22100,1,AP->STA1,22100,968,0.476771
22200,1,AP->STA1,22201,968,0.476897
22300,1,AP->STA1,22301,968,0.476977
22400,1,AP->STA1,22400,968,0.477056
22500,1,AP->STA1,22501,968,0.477179
22600,1,AP->STA1,22600,968,0.477256
22700,1,AP->STA1,22700,968,0.477376
22800,1,AP->STA1,22800,968,0.477452
22900,1,AP->STA1,22901,968,0.477528
23000,1,AP->STA1,23001,968,0.477646
23100,1,AP->STA1,23101,968,0.477719
23200,1,AP->STA1,23201,968,0.477836
23300,1,AP->STA1,23301,968,0.477908
23400,1,AP->STA1,23401,968,0.478022
23500,1,AP->STA1,23501,968,0.478093
23600,1,AP->STA1,23600,968,0.478163
23700,1,AP->STA1,23701,968,0.478275
23800,1,AP->STA1,23800,968,0.478344
23900,1,AP->STA1,23901,968,0.478454
24000,1,AP->STA1,24000,968,0.478521
24100,1,AP->STA1,24100,968,0.478588
24200,1,AP->STA1,24201,968,0.478696
24300,1,AP->STA1,24301,968,0.478762
24400,1,AP->STA1,24400,968,0.478867
24500,1,AP->STA1,24501,968,0.478932
24600,1,AP->STA1,24601,968,0.479036
24700,1,AP->STA1,24700,968,0.479098
24800,1,AP->STA1,24800,968,0.479161
24900,1,AP->STA1,24900,968,0.479263
25000,1,AP->STA1,25000,968,0.479325
25100,1,AP->STA1,25100,968,0.479426
25200,1,AP->STA1,25200,968,0.479486
25300,1,AP->STA1,25300,968,0.479546
25400,1,AP->STA1,25401,968,0.479645
25500,1,AP->STA1,25500,968,0.479704
25600,1,AP->STA1,25601,968,0.479802
25700,1,AP->STA1,25700,968,0.479859
25800,1,AP->STA1,25800,968,0.479955
25900,1,AP->STA1,25901,968,0.480012
26000,1,AP->STA1,26000,968,0.480069
26100,1,AP->STA1,26101,968,0.480163
26200,1,AP->STA1,26200,968,0.480218
26300,1,AP->STA1,26300,968,0.480311
26400,1,AP->STA1,26400,968,0.480366
26500,1,AP->STA1,26500,968,0.48042
26600,1,AP->STA1,26600,968,0.480511
26700,1,AP->STA1,26701,968,0.480564
26800,1,AP->STA1,26801,968,0.480654
26900,1,AP->STA1,26900,968,0.480706
27000,1,AP->STA1,27001,968,0.480758
27100,1,AP->STA1,27101,968,0.480846
27200,1,AP->STA1,27200,968,0.480896
27300,1,AP->STA1,27301,968,0.480984
27400,1,AP->STA1,27401,968,0.481034
27500,1,AP->STA1,27500,968,0.481119
27600,1,AP->STA1,27600,968,0.481167
27700,1,AP->STA1,27701,968,0.481216
27800,1,AP->STA1,27801,968,0.4813
27900,1,AP->STA1,27901,968,0.481348
28000,1,AP->STA1,28001,968,0.481432
28100,1,AP->STA1,28101,968,0.481479
28200,1,AP->STA1,28200,968,0.481525
28300,1,AP->STA1,28300,968,0.481607
28400,1,AP->STA1,28401,968,0.481653
28500,1,AP->STA1,28500,968,0.481734
28600,1,AP->STA1,28601,968,0.481779
28700,1,AP->STA1,28701,968,0.481859
28800,1,AP->STA1,28801,968,0.481903
28900,1,AP->STA1,28901,968,0.481948
29000,1,AP->STA1,29000,968,0.482026
29100,1,AP->STA1,29101,968,0.482069
29200,1,AP->STA1,29200,968,0.482146
29300,1,AP->STA1,29300,968,0.482189
29400,1,AP->STA1,29400,968,0.482232
29500,1,AP->STA1,29501,968,0.482308
29600,1,AP->STA1,29600,968,0.482349
29700,1,AP->STA1,29701,968,0.482425
29800,1,AP->STA1,29801,968,0.482466
29900,1,AP->STA1,29900,968,0.48254
30000,1,AP->STA1,30001,968,0.482581
30100,1,AP->STA1,30100,968,0.48262
30200,1,AP->STA1,30200,968,0.482693
30300,1,AP->STA1,30301,968,0.482733
30400,1,AP->STA1,30400,968,0.482805
30500,1,AP->STA1,30500,968,0.482844
30600,1,AP->STA1,30600,968,0.482883
30700,1,AP->STA1,30701,968,0.482954
30800,1,AP->STA1,30800,968,0.482991
30900,1,AP->STA1,30901,968,0.483062
31000,1,AP->STA1,31001,968,0.483099
31100,1,AP->STA1,31101,968,0.483137
31200,1,AP->STA1,31201,968,0.483206
31300,1,AP->STA1,31300,968,0.483242
31400,1,AP->STA1,31401,968,0.48331
31500,1,AP->STA1,31501,968,0.483346
31600,1,AP->STA1,31600,968,0.483413
31700,1,AP->STA1,31700,968,0.483449
31800,1,AP->STA1,31800,968,0.483484
31900,1,AP->STA1,31900,968,0.483551
32000,1,AP->STA1,32000,968,0.483586
32100,1,AP->STA1,32100,968,0.483651
32200,1,AP->STA1,32200,968,0.483685
32300,1,AP->STA1,32300,968,0.483719
32400,1,AP->STA1,32401,968,0.483784
32500,1,AP->STA1,32501,968,0.483818
32600,1,AP->STA1,32600,968,0.483881
32700,1,AP->STA1,32701,968,0.483915
32800,1,AP->STA1,32800,968,0.483978
32900,1,AP->STA1,32901,968,0.48401
33000,1,AP->STA1,33001,968,0.484043
33100,1,AP->STA1,33101,968,0.484105
33200,1,AP->STA1,33201,968,0.484137
33300,1,AP->STA1,33301,968,0.484198
33400,1,AP->STA1,33401,968,0.48423
33500,1,AP->STA1,33500,968,0.484261
33600,1,AP->STA1,33600,968,0.484322
33700,1,AP->STA1,33700,968,0.484352
33800,1,AP->STA1,33800,968,0.484412
33900,1,AP->STA1,33900,968,0.484442
34000,1,AP->STA1,34000,968,0.484502
34100,1,AP->STA1,34100,968,0.484532
34200,1,AP->STA1,34200,968,0.484561
34300,1,AP->STA1,34300,968,0.48462
34400,1,AP->STA1,34400,968,0.484649
34500,1,AP->STA1,34500,968,0.484707
34600,1,AP->STA1,34600,968,0.484736
34700,1,AP->STA1,34701,968,0.484765
34800,1,AP->STA1,34800,968,0.484822
34900,1,AP->STA1,34901,968,0.48485
35000,1,AP->STA1,35001,968,0.484907
35100,1,AP->STA1,35101,968,0.484935
35200,1,AP->STA1,35201,968,0.48499
35300,1,AP->STA1,35300,968,0.485017
35400,1,AP->STA1,35400,968,0.485044
35500,1,AP->STA1,35501,968,0.4851
35600,1,AP->STA1,35600,968,0.485126
35700,1,AP->STA1,35701,968,0.485181
35800,1,AP->STA1,35800,968,0.485207
35900,1,AP->STA1,35901,968,0.485234
36000,1,AP->STA1,36000,968,0.485287
36100,1,AP->STA1,36100,968,0.485313
36200,1,AP->STA1,36201,968,0.485367
36300,1,AP->STA1,36301,968,0.485393
36400,1,AP->STA1,36400,968,0.485418
36500,1,AP->STA1,36501,968,0.485471
36600,1,AP->STA1,36601,968,0.485496
36700,1,AP->STA1,36700,968,0.485548
36800,1,AP->STA1,36800,968,0.485573
36900,1,AP->STA1,36901,968,0.485625
37000,1,AP->STA1,37001,968,0.485649
37100,1,AP->STA1,37101,968,0.485673
37200,1,AP->STA1,37200,968,0.485724
37300,1,AP->STA1,37300,968,0.485748
37400,1,AP->STA1,37400,968,0.485799
37500,1,AP->STA1,37500,968,0.485822
37600,1,AP->STA1,37600,968,0.485845
37700,1,AP->STA1,37701,968,0.485895
37800,1,AP->STA1,37801,968,0.485918
37900,1,AP->STA1,37901,968,0.485968
38000,1,AP->STA1,38000,968,0.48599
38100,1,AP->STA1,38100,968,0.486039
38200,1,AP->STA1,38201,968,0.486062
38300,1,AP->STA1,38300,968,0.486084
38400,1,AP->STA1,38400,968,0.486133
38500,1,AP->STA1,38501,968,0.486155
38600,1,AP->STA1,38600,968,0.486203
38700,1,AP->STA1,38700,968,0.486225
38800,1,AP->STA1,38801,968,0.486247
38900,1,AP->STA1,38900,968,0.486294
39000,1,AP->STA1,39001,968,0.486316
39100,1,AP->STA1,39101,968,0.486363
39200,1,AP->STA1,39201,968,0.486384
39300,1,AP->STA1,39301,968,0.48643
39400,1,AP->STA1,39400,968,0.486451
39500,1,AP->STA1,39501,968,0.486472
39600,1,AP->STA1,39600,968,0.486517
39700,1,AP->STA1,39700,968,0.486538
39800,1,AP->STA1,39800,968,0.486584
39900,1,AP->STA1,39900,968,0.486604
40000,1,AP->STA1,40000,968,0.486624
40100,1,AP->STA1,40100,968,0.486669
40200,1,AP->STA1,40200,968,0.486689
40300,1,AP->STA1,40300,968,0.486734
40400,1,AP->STA1,40401,968,0.486754
40500,1,AP->STA1,40501,968,0.486773
40600,1,AP->STA1,40600,968,0.486817
40700,1,AP->STA1,40701,968,0.486836
40800,1,AP->STA1,40800,968,0.48688
40900,1,AP->STA1,40900,968,0.486899
41000,1,AP->STA1,41001,968,0.486942
41100,1,AP->STA1,41100,968,0.486961
41200,1,AP->STA1,41200,968,0.48698
41300,1,AP->STA1,41301,968,0.487023
41400,1,AP->STA1,41400,968,0.487041
41500,1,AP->STA1,41501,968,0.487084
41600,1,AP->STA1,41601,968,0.487102
41700,1,AP->STA1,41700,968,0.48712
41800,1,AP->STA1,41801,968,0.487162
41900,1,AP->STA1,41901,968,0.48718
42000,1,AP->STA1,42000,968,0.487221
42100,1,AP->STA1,42100,968,0.487239
42200,1,AP->STA1,42200,968,0.48728
42300,1,AP->STA1,42300,968,0.487298
42400,1,AP->STA1,42400,968,0.487315
42500,1,AP->STA1,42501,968,0.487356
42600,1,AP->STA1,42601,968,0.487373
42700,1,AP->STA1,42701,968,0.487414
42800,1,AP->STA1,42801,968,0.487431
42900,1,AP->STA1,42901,968,0.487448
43000,1,AP->STA1,43000,968,0.487487
43100,1,AP->STA1,43100,968,0.487504
43200,1,AP->STA1,43201,968,0.487544
43300,1,AP->STA1,43300,968,0.48756
43400,1,AP->STA1,43401,968,0.4876
43500,1,AP->STA1,43500,968,0.487616
