Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Average Delay (s)
1000,60,STA1->AP,60000,58598,0.418344
1000,60,STA1->AP,60000,58590,0.419601
1000,60,STA1->AP,60000,58594,0.419358
1000,60,STA1->AP,60000,58593,0.419217
1000,60,STA1->AP,60000,58593,0.419643
1000,60,STA1->AP,60000,58589,0.419384
1000,60,STA1->AP,60000,58592,0.419574
1000,60,STA1->AP,60000,58592,0.418968
1000,60,STA1->AP,60000,58588,0.420486
1000,60,STA1->AP,60000,58587,0.420162
1000,60,STA1->AP,60000,0,0
1000,60,STA1->AP,60000,0,0
1000,60,STA1->AP,60000,0,0
1000,60,STA1->AP,60000,0,0
1000,60,STA1->AP,60000,0,0
1000,60,STA1->AP,60000,0,0
1000,60,STA1->AP,60000,0,0
1000,60,STA1->AP,60000,0,0
1000,60,STA1->AP,60000,0,0
1000,60,STA1->AP,60000,0,0
