Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Average Delay (s)
100,10,AP->STA1,1000,1000,0.00104209
200,10,AP->STA1,2000,2000,0.00104091
300,10,AP->STA1,3001,3000,0.00104495
400,10,AP->STA1,4000,4000,0.00104564
500,10,AP->STA1,5000,5000,0.00105817
600,10,AP->STA1,6000,5999,0.00107838
700,10,AP->STA1,7001,6998,0.00112611
800,10,AP->STA1,8000,7998,0.00127647
900,10,AP->STA1,9001,8996,0.0025667
1000,10,AP->STA1,10000,9700,0.150191
1100,10,AP->STA1,11000,9699,0.393014
1200,10,AP->STA1,12001,9681,0.434536
1300,10,AP->STA1,13000,9680,0.450856
1400,10,AP->STA1,14000,9681,0.459759
1500,10,AP->STA1,15000,9681,0.465346
1600,10,AP->STA1,16000,9681,0.469076
1700,10,AP->STA1,17001,9681,0.471876
1800,10,AP->STA1,18000,9681,0.473908
1900,10,AP->STA1,19000,9681,0.475532
2000,10,AP->STA1,20000,9681,0.47689
2100,10,AP->STA1,21001,9681,0.477976
2200,10,AP->STA1,22001,9681,0.478918
2300,10,AP->STA1,23000,9681,0.479697
2400,10,AP->STA1,24000,9681,0.480361
2500,10,AP->STA1,25000,9681,0.48097
2600,10,AP->STA1,26001,9681,0.481478
2700,10,AP->STA1,27001,9681,0.481959
2800,10,AP->STA1,28000,9681,0.482366
2900,10,AP->STA1,29000,9681,0.482753
3000,10,AP->STA1,30001,9681,0.483078
3100,10,AP->STA1,31000,9681,0.483373
3200,10,AP->STA1,32000,9681,0.483662
3300,10,AP->STA1,33001,9681,0.48391
3400,10,AP->STA1,34000,9681,0.484154
3500,10,AP->STA1,35001,9681,0.484365
3600,10,AP->STA1,36000,9681,0.484557
3700,10,AP->STA1,37001,9681,0.484756
3800,10,AP->STA1,38000,9681,0.484924
3900,10,AP->STA1,39001,9681,0.485094
4000,10,AP->STA1,40000,9681,0.485234
4100,10,AP->STA1,41001,9681,0.485388
4200,10,AP->STA1,42001,9681,0.485516
4300,10,AP->STA1,43001,9681,0.485636
4400,10,AP->STA1,44000,9681,0.485762
4500,10,AP->STA1,45001,9681,0.485866
4600,10,AP->STA1,46001,9681,0.485981
4700,10,AP->STA1,47000,9681,0.486079
4800,10,AP->STA1,48001,9681,0.486167
4900,10,AP->STA1,49000,9681,0.486266
5000,10,AP->STA1,50000,9681,0.486345
5100,10,AP->STA1,51001,9681,0.486433
5200,10,AP->STA1,52000,9681,0.486506
5300,10,AP->STA1,53001,9681,0.486578
5400,10,AP->STA1,54001,9681,0.486654
5500,10,AP->STA1,55001,9681,0.486719
5600,10,AP->STA1,56001,9681,0.486789
5700,10,AP->STA1,57000,9681,0.486849
5800,10,AP->STA1,58000,9681,0.486916
5900,10,AP->STA1,59000,9681,0.48697
6000,10,AP->STA1,60000,9681,0.48702
6100,10,AP->STA1,61001,9681,0.487079
6200,10,AP->STA1,62001,9681,0.487127
6300,10,AP->STA1,63001,9681,0.487184
6400,10,AP->STA1,64000,9681,0.487227
6500,10,AP->STA1,65001,9681,0.487269
6600,10,AP->STA1,66001,9681,0.48732
6700,10,AP->STA1,67000,9681,0.487359
6800,10,AP->STA1,68000,9681,0.487407
6900,10,AP->STA1,69000,9681,0.487444
7000,10,AP->STA1,70001,9681,0.487484
7100,10,AP->STA1,71001,9681,0.48752
7200,10,AP->STA1,72000,9681,0.487552
7300,10,AP->STA1,73001,9681,0.487592
7400,10,AP->STA1,74001,9681,0.487625
7500,10,AP->STA1,75001,9681,0.487661
7600,10,AP->STA1,76000,9681,0.487691
7700,10,AP->STA1,77001,9681,0.487719
7800,10,AP->STA1,78001,9681,0.487754
7900,10,AP->STA1,79001,9681,0.487779
8000,10,AP->STA1,80000,9681,0.487812
8100,10,AP->STA1,81000,9681,0.487839
8200,10,AP->STA1,82001,9681,0.487868
8300,10,AP->STA1,83000,9681,0.487892
8400,10,AP->STA1,84000,9681,0.487915
8500,10,AP->STA1,85001,9681,0.487943
8600,10,AP->STA1,86001,9681,0.487966
8700,10,AP->STA1,87000,9681,0.487992
8800,10,AP->STA1,88001,9681,0.488014
8900,10,AP->STA1,89000,9681,0.488034
9000,10,AP->STA1,90001,9681,0.488057
9100,10,AP->STA1,91001,9681,0.488076
9200,10,AP->STA1,92000,9681,0.488101
9300,10,AP->STA1,93000,9681,0.48812
9400,10,AP->STA1,94000,9681,0.488138
9500,10,AP->STA1,95001,9681,0.488159
9600,10,AP->STA1,96000,9681,0.488176
9700,10,AP->STA1,97000,9681,0.488201
9800,10,AP->STA1,98000,9681,0.488217
9900,10,AP->STA1,99001,9681,0.488238
10000,10,AP->STA1,100000,9681,0.488252
